id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1301002,绿豆芽,1186,蔬菜,,,0.95,1.0,0.98,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1301001,黄豆芽,1186,蔬菜,,,0.85,0.9,0.88,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1301000,番茄,1186,蔬菜,,,0.8,1.1,0.95,冀鲁,黑框,斤,2022-07-03 00:00:00,,138,,admin,,,
1300999,番茄,1186,蔬菜,,,1.0,1.5,1.25,冀蒙,纸箱,斤,2022-07-03 00:00:00,,138,,admin,,,
1300998,番茄,1186,蔬菜,,,1.5,1.8,1.65,蒙津,白框,斤,2022-07-03 00:00:00,,138,,admin,,,
1300997,黄瓜,1186,蔬菜,,,1.4,2.4,1.9,鲁辽,袋\箱,斤,2022-07-03 00:00:00,,138,,admin,,,
1300996,黄瓜,1186,蔬菜,,,2.2,3.0,2.6,冀,鲜干花,斤,2022-07-03 00:00:00,,138,,admin,,,
1300995,小黄瓜,1186,蔬菜,,,3.2,6.5,4.85,辽鲁,旱\荷兰,斤,2022-07-03 00:00:00,,138,,admin,,,
1300994,茄子,1186,蔬菜,,,0.6,1.2,0.9,鲁冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300993,长茄,1186,蔬菜,,,0.8,1.6,1.2,冀辽,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300992,线茄,1186,蔬菜,,,1.0,2.5,1.75,冀京,袋\箱,斤,2022-07-03 00:00:00,,138,,admin,,,
1300991,广茄,1186,蔬菜,,,0.8,1.3,1.05,冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300990,冬瓜,1186,蔬菜,,,0.6,0.8,0.7,桂冀,吊,斤,2022-07-03 00:00:00,,138,,admin,,,
1300989,冬瓜,1186,蔬菜,,,0.5,0.6,0.55,桂冀,地,斤,2022-07-03 00:00:00,,138,,admin,,,
1300988,毛冬瓜,1186,蔬菜,,,0.8,1.2,1.0,冀鲁,长条,斤,2022-07-03 00:00:00,,138,,admin,,,
1300987,架豆,1186,蔬菜,,,3.0,4.5,3.75,鲁冀晋,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300986,豆王,1186,蔬菜,,,3.5,5.3,4.4,辽冀甘,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300985,扁豆,1186,蔬菜,,,2.2,2.8,2.5,鲁冀晋,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300984,豇豆,1186,蔬菜,,,2.0,3.0,2.5,鲁冀,湿\干,斤,2022-07-03 00:00:00,,138,,admin,,,
1300983,白不老,1186,蔬菜,,,2.5,4.0,3.25,辽,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300982,油豆,1186,蔬菜,,,5.0,7.0,6.0,辽冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300981,毛豆,1186,蔬菜,,,2.0,2.8,2.4,皖粤云川,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300980,玉米,1186,蔬菜,,,0.9,1.2,1.05,冀,黏\甜,斤,2022-07-03 00:00:00,,138,,admin,,,
1300979,花生,1186,蔬菜,,,5.0,6.5,5.75,粤,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300978,苦瓜,1186,蔬菜,,,2.0,2.5,2.25,冀鲁,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300977,丝瓜,1186,蔬菜,,,4.5,5.5,5.0,冀鲁,长\短,斤,2022-07-03 00:00:00,,138,,admin,,,
